,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Office of Personnel Management,1017,1175,1304,1454,1726,1934,2154,2284,2652,3167,3776,4607,5708,7062,8323,2354,9633,10962,12663,15056,18096,19983,21278,22590,23727,23955,26966,29191,29073,31949,34808,35596,36794,38596,41276,42870,45404,46297,47519,48655,50894,52540,54135,56547,59500,62400,58431,64393,72302,69915,74090,79457,83867,87917,94672,97185,96363,99491,103363,107224
Small Business Administration,230,142,133,243,210,151,284,110,253,333,452,1317,753,666,624,94,758,2820,1699,2026,2032,773,661,510,680,557,-65,-54,85,692,613,546,785,779,677,873,333,-77,57,-421,-570,493,1558,4075,2502,905,1175,528,2246,6128,6163,2936,477,194,-571,990,855,1065,1096,1104
Social Security Administration (On-Budget),..........,..........,..........,..........,..........,94,94,414,458,465,538,567,2750,5279,5576,1290,6014,6595,6228,7087,7862,8520,29854,17651,16793,19316,16524,18113,18709,17276,19008,24943,28143,31164,31037,30694,34309,37542,40021,45121,40007,45816,46333,49008,54556,53252,54917,58602,78657,70758,155316,188241,109849,81184,88581,99495,100012,100319,109943,115529
Social Security Administration (Off-Budget),14365,15788,16620,17460,20694,21631,23760,26885,29812,35408,39620,48565,55373,64159,73384,19763,84344,93120,103316,117872,138914,155120,150731,171167,183434,190684,202422,214489,227473,244998,266395,281418,298349,313881,330370,343869,358372,370068,379212,396169,421257,442010,461400,481200,506779,532491,566846,599197,648892,683420,628878,632903,757542,824587,865200,908104,957655,1013971,1073869,1137271
Other Independent Agencies (On-Budget),2283,1615,1178,1815,2494,3683,4290,2918,4263,5223,5082,5497,7076,8595,8490,3297,9433,9022,10324,13953,11802,9184,8644,8846,7051,8871,10475,19020,30727,68704,76870,14405,-17321,3356,-5996,2743,-2813,10878,6189,8803,11386,16705,14579,10103,16766,14003,12913,47221,47631,-7525,17457,30021,28180,9087,20265,19973,19055,19168,21214,24530
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,355,157,773,1112,1085,-726,-173,-496,-891,-431,89,-553,322,360,142,42,943,1712,-310,1626,1317,659,1441,1103,-1969,-180,-49,217,1021,2029,2302,-651,-5245,-4130,-1791,-1075,5093,2417,304,4700,808,2670,-1913,-2531,-558,-1608,1913,1327,280,282
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1875,-22254,20563,67855,37389,39289
Undistributed Offsetting Receipts,-6707,-7274,-7321,-7677,-8443,-9578,-10712,-11087,-12567,-14869,-14672,-18846,-23333,-21267,-22186,-4477,-23018,-24250,-27428,-31988,-41852,-42165,-51078,-52329,-58656,-65036,-72262,-78789,-89074,-98930,-110005,-117111,-119711,-123469,-137632,-134997,-154969,-161034,-159036,-173019,-191125,-200706,-210449,-212526,-226213,-237548,-260206,-277791,-274193,-267886,-276478,-230682,-249450,-246158,-286729,-249879,-249907,-244204,-250979,-254725
(On-budget),-5878,-6450,-6435,-6746,-7464,-8371,-9289,-9407,-10362,-12288,-11909,-15870,-20048,-17547,-18411,-4135,-19390,-20788,-24089,-28445,-38134,-38448,-47455,-46975,-52029,-57850,-63672,-66992,-72822,-77371,-83979,-87372,-86507,-87857,-97895,-92212,-107272,-107353,-99581,-105586,-114404,-115009,-117303,-114967,-123436,-128201,-141904,-150928,-142013,-134448,-145398,-102697,-127632,-130155,-174707,-141786,-143510,-139736,-145628,-151995
(Off-budget),-830,-824,-886,-931,-979,-1207,-1424,-1681,-2205,-2582,-2763,-2975,-3284,-3719,-3775,-342,-3627,-3463,-3338,-3543,-3718,-3717,-3623,-5354,-6627,-7186,-8590,-11798,-16252,-21558,-26026,-29739,-33203,-35612,-39737,-42785,-47697,-53681,-59455,-67433,-76721,-85697,-93146,-97559,-102777,-109347,-118302,-126863,-132180,-133438,-131080,-127985,-121818,-116003,-112022,-108093,-106397,-104468,-105351,-102730
Total outlays,106821,111316,118528,118228,134532,157464,178134,183640,195649,210172,230681,245707,269359,332332,371792,95975,409218,458746,504028,590941,678241,745743,808364,851805,946344,990382,1004017,1064416,1143743,1252993,1324226,1381529,1409386,1461752,1515742,1560484,1601116,1652458,1701842,1788950,1862846,2010894,2159899,2292841,2471957,2655050,2728686,2982544,3517677,3457079,3603059,3536951,3454647,3506089,3758577,3999467,4217798,4423296,4652637,4886367
